variable,question,description,type,values
consent,I am 18+ and consent to take part. I understand anonymised data will be published openly.,Consent to participate and allow anonymised data to be published.,categorical,Allowed values: yes (stored as 'yes'; original raw label: 'Yes').
ai_tool_use_frequency,"How often do you use digital or AI-powered tools (e.g., ChatGPT, Copilot, Gemini, AI-enhanced search) in your daily life?",Frequency of using AI-powered or digital tools in daily life.,categorical,"Allowed values (stored as snake_case): never, rarely, sometimes, occasionally, often, very_often, everyday."
hours_online_per_day,"On average, how many hours do you spend online each day? (self-estimate)",Estimated number of hours spent online per day.,numeric,"Allowed values (stored as snake_case categories): lt_2_hours, 2_4_hours, 5_6_hours, 7_8_hours, 9_10_hours, 11_12_hours, gt_12_hours."
ai_decision_help_often,"I often use AI tools to help me make decisions, even for everyday choices.",Frequency of using AI tools to assist with everyday decision-making.,numeric,Scale 1-7 1 = Strongly disagree ; 4 = Neutral ; 7 = Strongly agree
ai_decision_confidence_with_ai,I feel more confident in my decisions when an AI tool supports my thinking.,Confidence in decisions when supported by AI tools.,numeric,Scale 1-7 1 = Strongly disagree ; 4 = Neutral ; 7 = Strongly agree
ai_decision_reliance_when_difficult,I tend to rely on AI tools when making decisions feels difficult.,Tendency to rely on AI tools when decision-making feels difficult.,numeric,Scale 1-7 1 = Strongly disagree ; 4 = Neutral ; 7 = Strongly agree
ai_decision_check_before_finalising,I prefer to check my ideas with AI before finalising an important decision.,Preference for checking ideas with AI before finalising important decisions.,numeric,Scale 1-7 1 = Strongly disagree ; 4 = Neutral ; 7 = Strongly agree
ai_decision_clarity_when_unsure,AI can be helpful for giving me clarity when I'm unsure what choice to make.,Perceived value of AI tools for providing clarity when uncertain about choices.,numeric,Scale 1-7 1 = Strongly disagree ; 4 = Neutral ; 7 = Strongly agree
ai_influence_second_guessing,I've started second-guessing my own judgement more than I used to.,Extent to which AI use is associated with increased second-guessing of one’s own judgement.,numeric,Scale 1-7 1 = Strongly disagree ; 4 = Neutral ; 7 = Strongly agree
ai_influence_doubt_when_disagree,"If AI gives a different answer to mine, I sometimes wonder whether I might be mistaken.",Degree of doubt in personal judgement when AI-generated answers differ.,numeric,Scale 1-7 1 = Strongly disagree ; 4 = Neutral ; 7 = Strongly agree
ai_influence_check_thinking_track,I use AI tools to check whether my thinking is on the right track.,Use of AI tools to validate or check personal thinking.,numeric,Scale 1-7 1 = Strongly disagree ; 4 = Neutral ; 7 = Strongly agree
ai_influence_pause_to_check,I tend to pause before acting so I can check what an AI tool suggests.,Tendency to pause actions in order to consult AI suggestions first.,numeric,Scale 1-7 1 = Strongly disagree ; 4 = Neutral ; 7 = Strongly agree
ai_decision_check_for_importance,"For important decisions, I feel more comfortable checking an AI tool as part of my process.",Comfort with including AI tools as part of the process for important decisions.,numeric,Scale 1-7 1 = Strongly disagree ; 4 = Neutral ; 7 = Strongly agree
ai_influence_change_decision_feeling,Using AI regularly has changed the way I feel about making decisions on my own.,Perceived change in feelings about independent decision-making due to AI use.,numeric,Scale 1-7 1 = Strongly disagree ; 4 = Neutral ; 7 = Strongly agree
ai_influence_reflection_amount,I think about how much AI might be influencing my decisions.,Frequency of reflecting on the extent of AI influence on decisions.,numeric,Scale 1-7 1 = Strongly disagree ; 4 = Neutral ; 7 = Strongly agree
ai_influence_persuasive_effect,"I feel that AI suggestions can be persuasive, even when I try to rely on my own intuition.",Perceived persuasiveness of AI suggestions relative to personal intuition.,numeric,Scale 1-7 1 = Strongly disagree ; 4 = Neutral ; 7 = Strongly agree
ai_influence_separate_judgement,I need to take a moment to separate my own judgement from AI suggestions.,Need to consciously separate personal judgement from AI-generated suggestions.,numeric,Scale 1-7 1 = Strongly disagree ; 4 = Neutral ; 7 = Strongly agree
ai_influence_concern_over_reliance,"Even when AI is helpful, I'm aware that relying on it too much may not be ideal for me long-term.",Awareness of potential long-term downsides of over-relying on AI tools.,numeric,Scale 1-7 1 = Strongly disagree ; 4 = Neutral ; 7 = Strongly agree
ai_independence_without_ai,I feel more independent when I make decisions without using AI.,Perceived independence when making decisions without AI support.,numeric,Scale 1-7 1 = Strongly disagree ; 4 = Neutral ; 7 = Strongly agree
ai_influence_decision_thinking,AI tools influence how I think about my decisions.,Perceived influence of AI tools on how decisions are thought about or framed.,numeric,Scale 1-7 1 = Strongly disagree ; 4 = Neutral ; 7 = Strongly agree
ai_influence_reflect_shaping,I occasionally reflect on whether AI is shaping my decision-making style.,Frequency of reflecting on whether AI is shaping one’s decision-making style.,numeric,Scale 1-7 1 = Strongly disagree ; 4 = Neutral ; 7 = Strongly agree
ai_influence_conflict,I feel conflicted about how much influence AI has on me.,Level of inner conflict about the degree of AI influence on oneself.,numeric,Scale 1-7 1 = Strongly disagree ; 4 = Neutral ; 7 = Strongly agree
ai_influence_strength_of_conviction,"I generally trust my own judgement, but AI tools can sometimes affect how strongly I feel about a choice.",Extent to which AI tools affect strength of conviction in personal decisions.,numeric,Scale 1-7 1 = Strongly disagree ; 4 = Neutral ; 7 = Strongly agree
open_text_ai_decision_example,Describe a recent moment where you relied on an AI tool to help you make a decision — big or small. What made you turn to AI instead of deciding on your own?,Open-ended description of a recent decision where an AI tool was used and reasons for choosing AI support.,text,"Open-text responses describing a recent situation where participants used an AI tool to assist with a decision and their reasons for doing so. Minimal cleaning applied (whitespace trimming, newline removal). Raw wording preserved exactly. Empty string indicates no response."
trust_ai_to_act_in_best_interests,How much do you trust AI systems to act in your best interests?,Level of trust in AI acting in users best interests.,numeric,Scale 1-7 1 = Not at all ; 7 = Completely
what_matters_most,How clear do you feel about what matters most in your life right now?,Self-rated clarity about personal values and priorities.,numeric,Scale 1-7 1 = Not clear at all ; 7 = Extremely clear
digital_life_effect_on_focus,"How much does modern digital life affect your ability to focus, decide, or think clearly?",Impact of digital life on cognitive clarity.,numeric,Scale 1-7 1 = Not at all ; 7 = Very strongly
feelings_about_ai_in_decision_making,How do you feel about the growing role of AI in everyday decision-making?,Emotional evaluation of AI's role in everyday decisions.,numeric,Scale 1-7 1 = Very negative ; 7 = Very positive
ai_values_multi,Which values do you believe AI systems should reflect? (select upto 3),Values participants believe AI systems should reflect (multi-select).,multi_select,"Multi-select; stored as semicolon-separated snake_case tokens: honesty, empathy, fairness, respect, responsibility, human_wellbeing, non_harm, transparency, accountability."
age_group,What is your age group?,Participant age group.,categorical,"Allowed values: 18_24, 25_34, 35_44, 45_54, 55_65, over_65."
gender,Which of the following best describes your gender?,Participant gender identity.,categorical,"Allowed values: man, woman, non_binary, prefer_not_to_say."
country,Country of residence.,Participant country of residence.,categorical,"Allowed values (ISO-like codes): au, ca, ie, nz, uk, us."
education_level,What is your highest level of education?,Highest level of education completed.,categorical,"Allowed values: less_than_high_school, high_school, some_university_college, bachelors_degree, postgraduate_degree, other."
work_status,Which of the following best describes your current work status?,Participant employment or occupational status.,categorical,"Allowed values: student, employed_full_time, employed_part_time, self_employed, not_currently_working, other."
emotional_wellbeing,How would you describe your general emotional wellbeing?,Self-rated emotional wellbeing.,numeric,Scale 1-7 1 = Very poor ; 7 = Excellent
